Date-Time,AIT,Dighi,Vishrantwadi,Dhanori,Lohegaon,Airport,Yerwada,Hyatt Pune,PVR Koregaon,Vimaan Nagar,Rajiv Gandhi Nagar,Deccan College,Bund Garden,RTO Pune,Pune Station
2018-01-01 01:00:00,1099,874,537,210,546,847,487,267,85,1316,1404,1565,1583,1378,1284
2018-01-01 02:00:00,1078,880,590,209,547,789,621,204,91,1350,1422,1516,1758,1320,1276
2018-01-01 03:00:00,1034,824,517,223,575,778,510,366,30,1304,1588,1574,1689,1346,1227
2018-01-01 04:00:00,1022,813,531,287,548,807,593,272,43,1254,1437,1501,1613,1336,1200
2018-01-01 05:00:00,1028,888,589,225,526,773,583,261,73,1341,1578,1571,1781,1336,1232
2018-01-01 06:00:00,1066,864,555,200,566,761,630,305,100,1279,1564,1580,1509,1390,1203
2018-01-01 07:00:00,1008,836,517,276,503,760,585,244,97,1287,1450,1514,1737,1329,1211
2018-01-01 08:00:00,1064,845,574,216,584,782,589,319,31,1336,1540,1521,1712,1381,1252
2018-01-01 09:00:00,1072,868,598,224,518,839,618,348,56,1389,1592,1577,1648,1377,1266
2018-01-01 10:00:00,1065,870,567,273,511,802,496,372,25,1252,1548,1572,1738,1319,1249
2018-01-01 11:00:00,1045,882,577,256,559,813,460,338,41,1201,1601,1585,1664,1340,1234
2018-01-01 12:00:00,1026,883,537,270,553,789,525,220,9,1207,1568,1558,1656,1329,1213
2018-01-01 13:00:00,1080,898,557,265,511,824,505,256,28,1400,1557,1561,1609,1399,1249
2018-01-01 14:00:00,1058,803,522,214,524,845,512,296,27,1307,1571,1531,1789,1340,1248
2018-01-01 15:00:00,1001,849,589,231,565,768,581,299,56,1334,1467,1585,1771,1314,1265
2018-01-01 16:00:00,1081,899,519,270,585,839,548,373,89,1394,1582,1518,1544,1321,1279
2018-01-01 17:00:00,1037,864,521,265,537,810,457,399,45,1328,1532,1558,1684,1301,1229
2018-01-01 18:00:00,1089,828,558,292,525,803,567,306,74,1364,1411,1566,1515,1385,1264
2018-01-01 19:00:00,1017,813,583,285,546,817,579,327,77,1304,1535,1509,1631,1347,1244
2018-01-01 20:00:00,1034,843,544,202,519,774,622,377,51,1277,1557,1501,1558,1330,1267
2018-01-01 21:00:00,1040,818,573,289,572,813,460,335,53,1355,1521,1541,1583,1334,1235
2018-01-01 22:00:00,1007,899,561,213,527,799,487,214,51,1267,1491,1588,1776,1361,1215
2018-01-01 23:00:00,1034,844,521,274,534,849,643,349,99,1254,1485,1539,1735,1322,1228
2018-01-02 00:00:00,1064,833,561,287,510,845,478,228,28,1230,1529,1552,1747,1336,1257
2018-01-02 01:00:00,1020,891,526,267,517,789,639,254,97,1212,1557,1585,1574,1364,1219
2018-01-02 02:00:00,1051,849,512,219,560,803,589,208,17,1379,1542,1532,1651,1395,1267
2018-01-02 03:00:00,1087,813,546,249,555,804,616,240,40,1349,1558,1601,1566,1356,1248
2018-01-02 04:00:00,1085,821,536,232,510,760,604,395,47,1287,1506,1502,1524,1330,1235
2018-01-02 05:00:00,1017,887,588,215,523,754,491,299,48,1216,1505,1590,1661,1325,1288
2018-01-02 06:00:00,1015,852,592,235,580,826,605,273,80,1308,1416,1556,1593,1309,1202
2018-01-02 07:00:00,1041,837,592,235,595,756,609,222,8,1343,1533,1515,1593,1380,1226
2018-01-02 08:00:00,1036,804,537,228,540,794,485,378,80,1207,1473,1561,1753,1360,1249
2018-01-02 09:00:00,1045,872,529,287,600,768,589,358,15,1399,1481,1502,1730,1355,1245
2018-01-02 10:00:00,1060,873,515,219,582,812,636,299,37,1257,1534,1566,1637,1316,1281
2018-01-02 11:00:00,1009,899,542,254,591,820,506,308,3,1285,1467,1536,1526,1333,1209
2018-01-02 12:00:00,1080,857,527,229,577,759,624,372,99,1310,1486,1525,1710,1387,1235
2018-01-02 13:00:00,1057,833,574,276,561,781,502,237,41,1388,1442,1554,1554,1361,1262
2018-01-02 14:00:00,1071,802,563,299,559,809,571,317,98,1338,1471,1519,1692,1399,1252
2018-01-02 15:00:00,1046,854,540,206,516,828,631,282,59,1281,1486,1555,1564,1321,1223
2018-01-02 16:00:00,1014,847,597,252,588,823,633,339,50,1297,1554,1594,1729,1370,1278
2018-01-02 17:00:00,1048,895,512,208,561,776,469,357,84,1216,1452,1570,1554,1400,1203
2018-01-02 18:00:00,1052,895,565,296,516,798,484,325,53,1250,1590,1574,1579,1307,1233
2018-01-02 19:00:00,1048,879,581,200,601,803,577,353,38,1216,1406,1600,1567,1392,1203
2018-01-02 20:00:00,1096,841,504,254,563,764,565,263,59,1340,1584,1506,1659,1379,1264
2018-01-02 21:00:00,1058,900,572,202,558,763,521,226,66,1226,1568,1503,1731,1345,1201
2018-01-02 22:00:00,1025,844,538,284,535,837,507,245,16,1264,1593,1564,1678,1400,1208
2018-01-02 23:00:00,1077,858,594,212,574,751,492,300,53,1345,1436,1557,1793,1363,1250
2018-01-03 00:00:00,1033,850,529,285,560,845,558,292,57,1291,1529,1583,1514,1306,1286
2018-01-03 01:00:00,1051,846,575,291,540,754,454,297,19,1378,1543,1558,1547,1344,1236
2018-01-03 02:00:00,1048,861,556,277,515,840,493,211,35,1324,1543,1577,1534,1333,1206
2018-01-03 03:00:00,1066,890,516,256,570,840,554,365,13,1324,1563,1522,1555,1387,1267
